JobName : 643494-1-1-XWafer_YWafer
SerialNum : 643494-1-1-XWafer ; 643494-1-1-YWafer
DateTime : August 1, 2025 09:27:17 EDT
OperatorName : bmowry
LaserID : Renishaw 1 : Mirror 1
StageLabel : ALS20035-ES15925-03 ; ALS20035-ES15925-04
Calibrated : 1 ; 1
CoefficientOfThermalExpansion : 7.5 ; 7.5
ControllerVerison : Automation1 2.10.2
Iterations : 1
BiDirectional : 0
ConversionFactor : 1
BacklashDistance : 0 ; 0
CountsPerUnit : 100000 ; 100000
TestType : Accuracy2D
OpticLocation : 25.4mm above TWafer tt
Payload : 1.4kg
CalibrationFile : None
HomePositionSet : 0 ; 0
TestOrientation : Lower Axis ; Upper Axis
MotionDirection : 1 ; 1
AmplifierType : ACBrushlessLinear Rev(-) @ 7.3 Amps ; ACBrushlessLinear Rev(-) @ 7.3 Amps
MoveVelocity : 5
MoveAcceleration : 75
AxisIndex : 6 ; 5
EncoderFamily : I ; I
HomeOffset : -148.659945 ; -199.206036
HomeDirection : U ; U
GantryAxes : -1 ; -1
StageSerialNumber : 518496-01 ; 518497-01

DBase Info
DriveEncoderMultiplier : 2000 ; 2000
DriveFeedbackType : Incremental Encoder Sine Wave ; Incremental Encoder Sine Wave
StepSize : 5 ; 5
TestLength : 350 ; 350
FirmwareVersion : 2.10.2.2512

Ignored

       Position1         LaserData1       Position2         LaserData2   AirTemp   MatTemp  Pressure  Humidity
:START
      0.00000000           -0.00038      0.00000000           -0.00028     21.15     21.31    740.01     66.00
      5.00000000            4.99985      0.00000000           -0.00200     21.15     21.31    740.01     66.00
     10.00000000           10.00017      0.00000000           -0.00386     21.15     21.31    740.01     66.00
     15.00000000           14.99984      0.00000000           -0.00607     21.15     21.31    740.01     66.00
     20.00000000           19.99959      0.00000000           -0.00825     21.15     21.31    740.01     66.00
     25.00000000           24.99972      0.00000000           -0.01109     21.15     21.31    740.01     66.00
     30.00000000           29.99955      0.00000000           -0.01301     21.15     21.31    740.01     66.00
     35.00000000           34.99932      0.00000000           -0.01484     21.15     21.31    740.01     66.00
     40.00000000           39.99926      0.00000000           -0.01676     21.15     21.31    740.01     66.00
     45.00000000           44.99947      0.00000000           -0.01885     21.15     21.31    740.01     66.00
     50.00000000           49.99956      0.00000000           -0.02059     21.15     21.31    740.01     66.00
     55.00000000           54.99958      0.00000000           -0.02268     21.15     21.31    740.01     66.00
     60.00000000           59.99940      0.00000000           -0.02445     21.15     21.31    740.01     66.00
     65.00000000           64.99985      0.00000000           -0.02696     21.15     21.31    740.01     66.00
     70.00000000           69.99982      0.00000000           -0.02862     21.15     21.31    740.01     66.00
     75.00000000           74.99942      0.00000000           -0.03054     21.15     21.31    740.01     66.00
     80.00000000           79.99921      0.00000000           -0.03282     21.15     21.31    740.01     66.00
     85.00000000           84.99934      0.00000000           -0.03513     21.15     21.31    740.01     66.00
     90.00000000           89.99966      0.00000000           -0.03713     21.15     21.31    740.01     66.00
     95.00000000           94.99985      0.00000000           -0.03960     21.15     21.31    740.01     66.00
    100.00000000           99.99988      0.00000000           -0.04183     21.15     21.31    740.01     66.00
    105.00000000          105.00005      0.00000000           -0.04419     21.15     21.31    740.01     66.00
    110.00000000          110.00008      0.00000000           -0.04655     21.15     21.31    740.01     66.00
    115.00000000          114.99992      0.00000000           -0.04923     21.15     21.31    740.01     66.00
    120.00000000          119.99997      0.00000000           -0.05198     21.15     21.31    740.01     66.00
    125.00000000          125.00003      0.00000000           -0.05507     21.15     21.31    740.01     66.00
    130.00000000          130.00008      0.00000000           -0.05778     21.15     21.31    740.01     66.00
    135.00000000          134.99990      0.00000000           -0.06076     21.15     21.31    740.01     66.00
    140.00000000          139.99942      0.00000000           -0.06381     21.15     21.31    740.01     66.00
    145.00000000          144.99915      0.00000000           -0.06704     21.15     21.31    740.01     66.00
    150.00000000          149.99907      0.00000000           -0.06962     21.15     21.31    740.01     66.00
    155.00000000          154.99897      0.00000000           -0.07253     21.15     21.31    740.01     66.00
    160.00000000          159.99914      0.00000000           -0.07543     21.15     21.31    740.01     66.00
    165.00000000          164.99970      0.00000000           -0.07836     21.15     21.31    740.01     66.00
    170.00000000          169.99920      0.00000000           -0.08061     21.15     21.31    740.01     66.00
    175.00000000          174.99834      0.00000000           -0.08286     21.15     21.31    740.01     66.00
    180.00000000          179.99796      0.00000000           -0.08505     21.15     21.31    740.01     66.00
    185.00000000          184.99828      0.00000000           -0.08724     21.15     21.31    740.01     66.00
    190.00000000          189.99813      0.00000000           -0.08901     21.15     21.31    740.01     66.00
    195.00000000          194.99785      0.00000000           -0.09094     21.15     21.31    740.01     66.00
    200.00000000          199.99777      0.00000000           -0.09236     21.15     21.31    740.01     66.00
    205.00000000          204.99790      0.00000000           -0.09399     21.15     21.31    740.01     66.00
    210.00000000          209.99764      0.00000000           -0.09556     21.15     21.31    740.01     66.00
    215.00000000          214.99753      0.00000000           -0.09787     21.15     21.31    740.01     66.00
    220.00000000          219.99742      0.00000000           -0.09998     21.15     21.31    740.01     66.00
    225.00000000          224.99710      0.00000000           -0.10240     21.15     21.31    740.01     66.00
    230.00000000          229.99694      0.00000000           -0.10474     21.15     21.31    740.01     66.00
    235.00000000          234.99694      0.00000000           -0.10755     21.15     21.31    740.01     66.00
    240.00000000          239.99736      0.00000000           -0.11035     21.15     21.31    740.01     66.00
    245.00000000          244.99771      0.00000000           -0.11351     21.15     21.31    740.01     66.00
    250.00000000          249.99824      0.00000000           -0.11669     21.15     21.31    740.01     66.00
    255.00000000          254.99890      0.00000000           -0.11996     21.15     21.31    740.01     66.00
    260.00000000          259.99977      0.00000000           -0.12252     21.15     21.31    740.01     66.00
    265.00000000          264.99953      0.00000000           -0.12473     21.15     21.31    740.01     66.00
    270.00000000          269.99894      0.00000000           -0.12641     21.15     21.31    740.01     66.00
    275.00000000          274.99828      0.00000000           -0.12825     21.15     21.31    740.01     66.00
    280.00000000          279.99782      0.00000000           -0.12989     21.15     21.31    740.01     66.00
    285.00000000          284.99770      0.00000000           -0.13200     21.15     21.31    740.01     66.00
    290.00000000          289.99771      0.00000000           -0.13422     21.15     21.31    740.01     66.00
    295.00000000          294.99788      0.00000000           -0.13691     21.15     21.31    740.01     66.00
    300.00000000          299.99801      0.00000000           -0.13957     21.15     21.31    740.01     66.00
    305.00000000          304.99813      0.00000000           -0.14237     21.15     21.31    740.01     66.00
    310.00000000          309.99804      0.00000000           -0.14467     21.15     21.31    740.01     66.00
    315.00000000          314.99826      0.00000000           -0.14730     21.15     21.31    740.01     66.00
    320.00000000          319.99851      0.00000000           -0.14950     21.15     21.31    740.01     66.00
    325.00000000          324.99898      0.00000000           -0.15150     21.15     21.31    740.01     66.00
    330.00000000          329.99927      0.00000000           -0.15307     21.15     21.31    740.01     66.00
